"";"sexe";"nbenf";"moyf";"a52p";"a52m"
"1";"1";3;52,9411764705882;"2";"3"
"2";"2";6;61,1764705882353;"2";"1"
"3";"1";1;71,7647058823529;"5";"5"
"4";"1";3;64,7058823529412;"2";"1"
"5";"1";3;49,4117647058823;"2";"5"
"6";"1";1;51,7647058823529;"4";"2"
"7";"2";3;62,3529411764706;"1";"1"
"8";"1";1;43,5294117647059;"1";"2"
"9";"2";2;65,8823529411765;"5";"4"
"10";"1";3;85,8823529411765;"8";"6"
"11";"1";3;47,0588235294118;"1";"1"
"12";"1";4;52,9411764705882;"4";"2"
"13";"2";2;82,3529411764706;"2";"6"
"14";"2";4;51,7647058823529;"2";"2"
"15";"2";2;77,6470588235294;"6";"6"
"16";"1";2;60;"3";"5"
"17";"2";3;81,1764705882353;"7";"7"
"18";"2";6;63,5294117647059;"1";"1"
"19";"1";3;65,8823529411765;"3";"3"
"20";"1";2;83,5294117647059;"6";"6"
"21";"1";3;68,2352941176471;"7";"4"
"22";"1";2;76,4705882352941;"8";"7"
"23";"2";2;62,3529411764706;"6";"4"
"24";"2";3;74,1176470588235;"4";"2"
"25";"1";1;65,8823529411765;"1";"1"
"26";"1";3;58,8235294117647;"7";"1"
"27";"1";9;15,2941176470588;"1";"1"
"28";"2";2;70,5882352941177;"6";"2"
"29";"1";2;72,9411764705882;"4";"1"
"30";"1";3;52,9411764705882;"4";"3"
"31";"1";6;47,0588235294118;"1";"1"
"32";"1";2;82,3529411764706;"2";"2"
"33";"2";2;83,5294117647059;"6";"3"
"34";"2";1;58,8235294117647;"2";"2"
"35";"1";2;76,1904761904762;"2";"4"
"36";"2";2;85,8823529411765;"4";"5"
"37";"2";3;68,2352941176471;"2";"4"
"38";"1";5;63,5294117647059;"3";"1"
"39";"1";2;84,7058823529412;"4";"5"
"40";"2";5;45,8823529411765;"1";"2"
"41";"1";3;57,6470588235294;"1";"1"
"42";"1";2;34,1176470588235;"1";"1"
"43";"2";2;42,3529411764706;"6";"2"
"44";"1";4;75,2941176470588;"7";"7"
"45";"1";3;88,235294117647;"8";"6"
"46";"1";4;50,5882352941176;"4";"3"
"47";"2";3;72,9411764705882;"6";"2"
"48";"1";3;56,4705882352941;"1";"1"
"49";"1";3;69,4117647058823;"5";"1"
"50";"1";2;45,8823529411765;"2";"2"
"51";"2";7;56,4705882352941;"6";"6"
"52";"1";3;52,9411764705882;"2";"2"
"53";"2";4;69,4117647058823;"7";"3"
"54";"2";1;71,7647058823529;"8";"7"
"55";"2";2;42,3529411764706;"4";"6"
"56";"2";7;43,5294117647059;"1";"1"
"57";"1";5;47,0588235294118;"1";"1"
"58";"2";4;61,1764705882353;"4";"1"
"59";"2";1;85,8823529411765;"8";"8"
"60";"2";6;52,9411764705882;"1";"1"
"61";"2";1;70,5882352941177;"4";"1"
"62";"1";3;43,5294117647059;"3";"2"
"63";"2";1;92,9411764705882;"7";"6"
"64";"2";2;64,7058823529412;"1";"1"
"65";"2";1;63,5294117647059;"2";"2"
"66";"1";3;43,5294117647059;"5";"2"
"67";"1";2;52,9411764705882;"4";"6"
"68";"1";3;61,1764705882353;"1";"1"
"69";"1";2;90,5882352941177;"8";"8"
"70";"1";3;80;"7";"6"
"71";"2";2;47,0588235294118;"2";"4"
"72";"1";4;62,3529411764706;"1";"2"
"73";"2";2;47,0588235294118;"4";"5"
"74";"2";1;76,4705882352941;"3";"2"
"75";"2";1;76,4705882352941;"7";"8"
"76";"1";3;68,2352941176471;"1";"1"
"77";"1";4;62,3529411764706;"3";"2"
"78";"2";9;38,8235294117647;"4";"4"
"79";"2";2;70,5882352941177;"2";"2"
"80";"2";1;91,7647058823529;"8";"1"
"81";"1";2;70,5882352941177;"6";"6"
"82";"1";2;60;"2";"2"
"83";"1";2;69,4117647058823;"5";"3"
"84";"1";2;55,2941176470588;"4";"4"
"85";"1";1;60;"4";"2"
"86";"1";3;57,6470588235294;"4";"2"
"87";"1";3;71,7647058823529;"8";"6"
"88";"1";12;72,9411764705882;"1";"1"
"89";"2";2;70,5882352941177;"4";"6"
"90";"1";2;50,5882352941176;"1";"1"
"91";"2";2;77,6470588235294;"2";"2"
"92";"2";4;62,3529411764706;"1";"1"
"93";"1";3;60;"1";"1"
"94";"1";4;51,7647058823529;"2";"1"
"95";"2";1;89,4117647058823;"7";"4"
"96";"2";2;85,8823529411765;"6";"4"
"97";"2";3;95,2941176470588;"8";"8"
"98";"1";2;62,3529411764706;"2";"3"
"99";"1";3;60;"1";"4"
"100";"1";3;16,4705882352941;"1";"1"
"101";"2";5;52,9411764705882;"4";"2"
"102";"1";7;62,3529411764706;"1";"1"
"103";"2";9;72,9411764705882;"1";"1"
"104";"1";2;77,6470588235294;"1";"1"
"105";"2";8;57,6470588235294;"1";"1"
"106";"1";3;61,1764705882353;"2";"1"
"107";"2";5;71,7647058823529;"1";"1"
"108";"1";3;76,4705882352941;"1";"1"
"109";"1";3;54,1176470588235;"8";"7"
"110";"1";6;36,4705882352941;"1";"1"
"111";"1";4;74,1176470588235;"1";"3"
"112";"1";3;43,5294117647059;"2";"1"
"113";"2";6;57,6470588235294;"1";"1"
"114";"2";3;89,4117647058823;"8";"8"
"115";"1";3;71,7647058823529;"7";"6"
"116";"1";1;71,7647058823529;"2";"4"
"117";"2";2;32,9411764705882;"1";"4"
"118";"1";4;54,1176470588235;"1";"1"
"119";"1";3;64,7058823529412;"1";"1"
"120";"2";2;52,9411764705882;"1";"1"
"121";"2";5;56,4705882352941;"1";"1"
"122";"1";6;45,8823529411765;"1";"1"
"123";"2";4;49,4117647058823;"1";"1"
"124";"1";4;62,3529411764706;"2";"2"
"125";"2";4;72,9411764705882;"1";"1"
"126";"1";2;75,2941176470588;"7";"6"
"127";"1";1;60;"5";"4"
"128";"1";3;74,1176470588235;"8";"4"
"129";"2";4;63,5294117647059;"4";"2"
"130";"2";3;90,5882352941177;"7";"7"
"131";"2";4;69,4117647058823;"4";"2"
"132";"2";2;77,6470588235294;"7";"2"
"133";"2";8;37,6470588235294;"1";"1"
"134";"2";4;54,1176470588235;"1";"1"
"135";"2";4;65,8823529411765;"6";"6"
"136";"2";3;47,0588235294118;"1";"1"
"137";"1";2;65,8823529411765;"8";"8"
"138";"1";2;58,8235294117647;"1";"1"
"139";"1";4;50,5882352941176;"1";"2"
"140";"2";5;65,8823529411765;"1";"1"
"141";"1";4;50,5882352941176;"2";"2"
"142";"1";4;42,3529411764706;"4";"2"
"143";"1";5;23,5294117647059;"1";"1"
"144";"2";4;34,1176470588235;"1";"1"
"145";"1";5;70,5882352941177;"1";"1"
